seed,family,depth,n_hot,p_cold,duty_spread,mean_duty,contested,n_2q,cut,f_2xSC,f_2xNA,f_SCNA,mk_2xSC,mk_2xNA,mk_SCNA,comm_2xSC,comm_2xNA,comm_SCNA,part_2xSC,part_2xNA,part_SCNA,best_homo,f_best_homo,mk_best_homo,rel_gain_pct,mk_ratio,mk_dominated,pareto_win,winner
0,hotcore,20,4,0.184,0.3193,0.4444,0,33,8,0.63237,0.636137,0.661916,5620.0,19500.0,9220.0,8,8,8,0|2|4|6,0|2|4|6,0|2|4|6,2xNA,0.636137,19500.0,7.085,0.4728,0,1,SC+NA
1,hotcore,20,3,0.095,0.3361,0.355,0,25,6,0.672249,0.724032,0.723463,6240.0,18500.0,9100.0,6,6,6,0|1|2|3,0|1|2|4,0|1|2|3,2xNA,0.724032,18500.0,-0.206,0.4919,0,0,2xNA
2,hotcore,20,3,0.15,0.3341,0.3984,0,28,7,0.657473,0.669574,0.686682,5480.0,18500.0,8860.0,7,7,7,0|1|2|6,0|1|2|6,0|1|2|6,2xNA,0.669574,18500.0,5.177,0.4789,0,1,SC+NA
3,hotcore,20,3,0.12,0.2931,0.3544,0,25,5,0.681222,0.732576,0.727274,6420.0,18000.0,9120.0,5,5,5,0|3|5|6,0|3|5|6,1|2|4|7,2xNA,0.732576,18000.0,-1.983,0.5067,0,0,2xNA
4,hotcore,20,3,0.039,0.3206,0.2724,0,18,1,0.797005,0.855783,0.872534,5640.0,17000.0,6440.0,1,1,1,0|4|5|6,0|4|5|6,0|4|5|6,2xNA,0.855783,17000.0,11.615,0.3788,0,1,SC+NA
5,hotcore,20,5,0.157,0.3532,0.4836,1,36,12,0.568382,0.582558,0.554913,6220.0,19500.0,14700.0,12,12,12,0|1|3|6,0|1|3|6,2|4|5|7,2xNA,0.582558,19500.0,-6.623,0.7538,0,0,2xNA
6,hotcore,20,5,0.121,0.3021,0.4581,1,34,13,0.536634,0.5666,0.525933,6480.0,19000.0,14200.0,13,13,14,0|5|6|7,0|5|6|7,0|2|3|4,2xNA,0.5666,19000.0,-9.383,0.7474,0,0,2xNA
7,hotcore,20,4,0.112,0.3523,0.4107,0,29,4,0.742329,0.747693,0.785641,5220.0,17500.0,7660.0,4,4,4,0|2|3|5,0|2|3|5,0|2|3|5,2xNA,0.747693,17500.0,15.04,0.4377,0,1,SC+NA
8,hotcore,20,3,0.018,0.3317,0.2617,0,18,0,0.832028,0.874129,0.916496,5240.0,18500.0,5240.0,0,0,0,0|2|6|7,0|1|3|5,1|3|4|5,2xNA,0.874129,18500.0,33.66,0.2832,0,1,SC+NA
9,hotcore,20,4,0.011,0.4127,0.428,0,32,1,0.774203,0.796752,0.866234,6820.0,19500.0,7620.0,1,1,1,0|3|4|6,0|3|4|6,1|2|5|7,2xNA,0.796752,19500.0,34.186,0.3908,0,1,SC+NA
10,hotcore,20,5,0.165,0.3457,0.5092,1,38,11,0.544823,0.57783,0.551825,7620.0,19500.0,14700.0,11,11,11,0|3|4|7,0|3|4|7,0|3|4|7,2xNA,0.57783,19500.0,-6.16,0.7538,0,0,2xNA
11,hotcore,20,4,0.163,0.2967,0.4817,0,36,6,0.669475,0.681613,0.705632,6620.0,18500.0,9440.0,6,6,6,0|1|2|6,0|1|2|6,3|4|5|7,2xNA,0.681613,18500.0,7.544,0.5103,0,1,SC+NA
12,hotcore,20,4,0.012,0.3515,0.3253,0,24,0,0.77161,0.850084,0.887906,7620.0,19500.0,7620.0,0,0,0,0|1|3|6,0|1|3|6,2|4|5|7,2xNA,0.850084,19500.0,25.228,0.3908,0,1,SC+NA
13,hotcore,20,4,0.137,0.4054,0.481,0,36,3,0.713109,0.749268,0.802101,7640.0,19000.0,8840.0,3,3,3,0|2|3|7,0|2|3|7,1|4|5|6,2xNA,0.749268,19000.0,21.072,0.4653,0,1,SC+NA
14,hotcore,20,3,0.149,0.2726,0.3279,0,24,4,0.725985,0.774967,0.764806,6040.0,17000.0,8880.0,4,4,4,0|1|4|7,0|1|4|7,2|3|5|6,2xNA,0.774967,17000.0,-4.515,0.5224,0,0,2xNA
15,hotcore,20,3,0.183,0.2645,0.2866,0,21,4,0.721732,0.771153,0.757416,4820.0,17000.0,7820.0,5,4,5,0|2|4|5,0|4|5|7,0|1|4|5,2xNA,0.771153,17000.0,-6.003,0.46,0,0,2xNA
16,hotcore,20,4,0.011,0.3749,0.3776,0,28,0,0.805668,0.833099,0.907293,6440.0,18500.0,6440.0,0,0,0,0|1|4|5,0|1|4|5,2|3|6|7,2xNA,0.833099,18500.0,44.454,0.3481,0,1,SC+NA
17,hotcore,20,5,0.144,0.2568,0.4568,1,34,13,0.52144,0.552149,0.521163,5620.0,17500.0,13220.0,14,13,13,0|1|2|3,0|1|3|5,2|4|6|7,2xNA,0.552149,17500.0,-6.919,0.7554,0,0,2xNA
18,hotcore,20,3,0.048,0.3085,0.2736,0,17,2,0.786352,0.829725,0.84371,5080.0,17500.0,6440.0,2,2,2,0|1|3|5,0|1|3|5,1|3|5|7,2xNA,0.829725,17500.0,8.213,0.368,0,1,SC+NA
19,hotcore,20,5,0.199,0.3048,0.5726,1,43,15,0.527873,0.505925,0.45923,5020.0,19500.0,17000.0,15,15,15,0|1|6|7,0|1|6|7,0|1|6|7,2xSC,0.527873,5020.0,-14.539,3.3865,0,0,2xSC
20,hotcore,20,5,0.042,0.3394,0.4817,1,36,10,0.556626,0.598396,0.571204,7620.0,19500.0,14220.0,10,10,10,0|2|5|6,0|2|5|6,0|2|5|6,2xNA,0.598396,19500.0,-6.771,0.7292,0,0,2xNA
21,hotcore,20,3,0.101,0.3202,0.3645,0,27,6,0.683749,0.702136,0.754321,5440.0,19000.0,6120.0,6,6,6,0|1|2|4,0|1|2|4,0|3|5|6,2xNA,0.702136,19000.0,17.52,0.3221,0,1,SC+NA
22,hotcore,20,3,0.045,0.3507,0.3259,0,24,3,0.731452,0.777985,0.810364,6220.0,19500.0,7260.0,3,3,3,0|3|4|7,0|1|3|4,0|3|4|7,2xNA,0.777985,19500.0,14.584,0.3723,0,1,SC+NA
23,hotcore,20,4,0.111,0.3277,0.3789,0,28,5,0.707188,0.715733,0.752506,5260.0,18500.0,7660.0,5,5,5,0|1|2|4,0|1|2|4,0|1|2|4,2xNA,0.715733,18500.0,12.936,0.4141,0,1,SC+NA
24,hotcore,20,5,0.047,0.39,0.5118,1,38,12,0.529611,0.554967,0.537187,7220.0,19500.0,14800.0,12,12,12,0|1|2|3,0|1|2|3,4|5|6|7,2xNA,0.554967,19500.0,-3.995,0.759,0,0,2xNA
25,hotcore,20,4,0.191,0.2577,0.4175,0,31,6,0.677714,0.711831,0.701534,6420.0,17500.0,10420.0,6,6,6,0|1|2|3,0|1|2|3,0|1|2|3,2xNA,0.711831,17500.0,-3.573,0.5954,0,0,2xNA
26,hotcore,20,5,0.191,0.274,0.4699,1,35,13,0.546415,0.562968,0.54037,6020.0,18500.0,13100.0,13,13,13,0|2|4|6,0|2|4|6,1|3|5|7,2xNA,0.562968,18500.0,-5.171,0.7081,0,0,2xNA
27,hotcore,20,5,0.058,0.2935,0.3907,1,29,10,0.573564,0.631817,0.574116,5260.0,19500.0,15100.0,12,10,10,0|2|3|4,0|3|4|7,1|2|5|6,2xNA,0.631817,19500.0,-15.672,0.7744,0,0,2xNA
28,hotcore,20,3,0.053,0.3508,0.34,0,24,4,0.713555,0.768327,0.770779,6300.0,19000.0,9240.0,4,4,4,0|1|5|7,0|3|5|7,1|2|4|6,2xNA,0.768327,19000.0,1.059,0.4863,0,1,SC+NA
29,hotcore,20,5,0.186,0.2948,0.5314,1,40,14,0.508172,0.556754,0.511012,8220.0,19500.0,16500.0,14,14,14,0|2|3|7,0|2|3|7,1|4|5|6,2xNA,0.556754,19500.0,-10.32,0.8462,0,0,2xNA
30,hotcore,20,5,0.019,0.396,0.5131,1,38,13,0.498395,0.544617,0.498021,8220.0,19500.0,17600.0,13,13,13,0|1|4|6,0|1|4|6,0|1|4|6,2xNA,0.544617,19500.0,-10.232,0.9026,0,0,2xNA
31,hotcore,20,3,0.018,0.3292,0.2596,0,18,0,0.797687,0.874562,0.898635,6460.0,19000.0,6460.0,0,0,0,0|3|4|7,0|1|3|7,0|3|6|7,2xNA,0.874562,19000.0,19.191,0.34,0,1,SC+NA
32,hotcore,20,3,0.055,0.351,0.3128,0,23,1,0.784835,0.826921,0.86524,6040.0,19500.0,6840.0,1,1,1,0|1|2|3,0|1|2|3,0|1|2|3,2xNA,0.826921,19500.0,22.139,0.3508,0,1,SC+NA
33,hotcore,20,5,0.179,0.3236,0.5236,1,39,13,0.543192,0.537694,0.500622,5620.0,19500.0,15500.0,13,13,13,0|1|4|6,0|1|4|6,2|3|5|7,2xSC,0.543192,5620.0,-9.319,2.758,0,0,2xSC
34,hotcore,20,5,0.079,0.364,0.5242,1,39,14,0.513415,0.527312,0.479579,6420.0,19500.0,15600.0,14,14,16,0|2|3|6,0|2|3|6,0|1|5|7,2xNA,0.527312,19500.0,-10.098,0.8,0,0,2xNA
35,hotcore,20,5,0.193,0.2996,0.5478,1,41,14,0.497689,0.517589,0.481472,7220.0,19500.0,16000.0,14,14,14,0|3|4|6,0|3|4|6,1|2|5|7,2xNA,0.517589,19500.0,-7.487,0.8205,0,0,2xNA
36,hotcore,20,4,0.129,0.3314,0.375,0,25,4,0.731644,0.762914,0.797783,5660.0,17500.0,7060.0,4,4,4,0|2|6|7,0|2|6|7,0|2|6|7,2xNA,0.762914,17500.0,14.707,0.4034,0,1,SC+NA
37,hotcore,20,5,0.08,0.3169,0.4581,1,34,12,0.558594,0.580122,0.542173,4640.0,19500.0,14820.0,14,12,12,0|1|3|4,0|2|3|7,1|4|5|6,2xNA,0.580122,19500.0,-9.038,0.76,0,0,2xNA
38,hotcore,20,5,0.098,0.2998,0.4684,1,33,14,0.547092,0.555148,0.499703,5220.0,17500.0,14200.0,14,14,15,0|3|5|7,0|3|5|7,0|3|4|5,2xNA,0.555148,17500.0,-12.464,0.8114,0,0,2xNA
39,hotcore,20,3,0.085,0.3133,0.2881,0,18,2,0.807185,0.834915,0.855117,4420.0,17000.0,5840.0,2,2,2,0|3|4|7,0|3|4|5,0|3|4|7,2xNA,0.834915,17000.0,12.237,0.3435,0,1,SC+NA
